order_date,region,category,revenue,profit,quantity,month,season
2023-07-13,Canada,Electronics,687,171.75,3,7,Summer
2024-08-12,China,Apparel,236,59.0,4,8,Summer
2024-08-04,Germany,Toys,118,29.5,2,8,Summer
2025-05-23,France,Home & Kitchen,1596,399.0,4,5,Spring
2023-07-02,Brazil,Apparel,110,27.5,1,7,Summer
2023-04-13,Canada,Electronics,1145,286.25,5,4,Spring
2023-12-31,France,Home & Kitchen,99,24.75,1,12,Winter
2024-01-29,UK,Apparel,118,29.5,2,1,Winter
2022-11-30,China,Electronics,995,248.75,5,11,Autumn
2025-05-16,Brazil,Home & Kitchen,1596,399.0,4,5,Spring
2024-04-24,Germany,Home & Kitchen,1596,399.0,4,4,Spring
2025-01-15,Japan,Sports,298,74.5,2,1,Winter
2024-05-15,UK,Books,129,32.25,1,5,Spring
2023-11-22,China,Electronics,1998,499.5,2,11,Autumn
2024-05-30,China,Toys,796,199.0,4,5,Spring
2023-03-30,USA,Apparel,110,27.5,1,3,Spring
2025-05-22,Japan,Books,645,161.25,5,5,Spring
2022-12-29,China,Sports,298,74.5,2,12,Winter
2022-08-31,France,Books,80,20.0,1,8,Summer
2024-10-21,Canada,Electronics,687,171.75,3,10,Autumn
2024-06-02,India,Toys,796,199.0,4,6,Summer
2025-07-20,Australia,Toys,995,248.75,5,7,Summer
2022-12-06,Canada,Apparel,480,120.0,4,12,Winter
2023-02-17,France,Books,258,64.5,2,2,Winter
2024-09-11,Brazil,Electronics,1998,499.5,2,9,Autumn
2024-05-21,USA,Apparel,330,82.5,3,5,Spring
2022-11-15,Germany,Books,129,32.25,1,11,Autumn
2023-05-28,France,Electronics,2697,674.25,3,5,Spring
2023-12-26,Brazil,Electronics,1145,286.25,5,12,Winter
2024-12-31,USA,Electronics,995,248.75,5,12,Winter
2023-12-01,UK,Electronics,899,224.75,1,12,Winter
2024-08-16,France,Home & Kitchen,1596,399.0,4,8,Summer
2023-05-08,UK,Apparel,440,110.0,4,5,Spring
2024-03-07,India,Books,387,96.75,3,3,Spring
2025-06-07,Australia,Electronics,3596,899.0,4,6,Summer
2022-12-11,UK,Sports,447,111.75,3,12,Winter
2023-02-14,Canada,Electronics,199,49.75,1,2,Winter
2025-02-11,France,Electronics,1998,499.5,2,2,Winter
2024-04-29,Germany,Electronics,3996,999.0,4,4,Spring
2025-05-22,Brazil,Apparel,360,90.0,3,5,Spring
2025-05-27,Australia,Apparel,295,73.75,5,5,Spring
2023-07-26,Japan,Books,516,129.0,4,7,Summer
2023-12-16,UK,Home & Kitchen,198,49.5,2,12,Winter
2025-01-05,Australia,Electronics,916,229.0,4,1,Winter
2023-03-18,France,Apparel,59,14.75,1,3,Spring
2023-04-26,China,Toys,199,49.75,1,4,Spring
2025-02-26,Brazil,Electronics,899,224.75,1,2,Winter
2024-12-28,USA,Toys,597,149.25,3,12,Winter
2023-11-10,China,Books,80,20.0,1,11,Autumn
2025-03-17,Canada,Apparel,118,29.5,2,3,Spring
2025-01-03,China,Home & Kitchen,1995,498.75,5,1,Winter
2023-06-14,Germany,Electronics,458,114.5,2,6,Summer
2023-05-07,Japan,Electronics,229,57.25,1,5,Spring
2023-09-04,Japan,Toys,295,73.75,5,9,Autumn
2025-06-10,India,Electronics,995,248.75,5,6,Summer
2025-02-09,USA,Electronics,4995,1248.75,5,2,Winter
2025-08-15,France,Toys,398,99.5,2,8,Summer
2024-02-07,UK,Electronics,458,114.5,2,2,Winter
2024-10-21,Germany,Apparel,440,110.0,4,10,Autumn
2023-05-10,India,Electronics,1998,499.5,2,5,Spring
2024-06-17,Japan,Home & Kitchen,1197,299.25,3,6,Summer
2025-02-03,Canada,Toys,796,199.0,4,2,Winter
2023-07-17,USA,Books,80,20.0,1,7,Summer
2023-05-02,Canada,Sports,50,12.5,2,5,Spring
2023-03-08,UK,Electronics,597,149.25,3,3,Spring
2024-11-08,Brazil,Home & Kitchen,99,24.75,1,11,Autumn
2022-11-05,Japan,Apparel,440,110.0,4,11,Autumn
2024-04-19,France,Sports,298,74.5,2,4,Spring
2024-07-27,India,Sports,745,186.25,5,7,Summer
2025-01-22,Japan,Apparel,118,29.5,2,1,Winter
2024-03-10,Germany,Apparel,330,82.5,3,3,Spring
2022-10-05,France,Sports,447,111.75,3,10,Autumn
2023-08-01,Australia,Home & Kitchen,396,99.0,4,8,Summer
2024-05-02,Canada,Electronics,597,149.25,3,5,Spring
2022-10-06,USA,Apparel,550,137.5,5,10,Autumn
2023-11-25,Japan,Toys,199,49.75,1,11,Autumn
2025-08-21,China,Apparel,220,55.0,2,8,Summer
2025-06-14,Japan,Apparel,177,44.25,3,6,Summer
2023-04-07,Brazil,Apparel,177,44.25,3,4,Spring
2025-07-09,China,Electronics,687,171.75,3,7,Summer
2023-02-10,Brazil,Toys,295,73.75,5,2,Winter
2023-03-27,Canada,Books,516,129.0,4,3,Spring
2025-03-04,Japan,Electronics,458,114.5,2,3,Spring
2023-10-09,Japan,Apparel,240,60.0,2,10,Autumn
2023-04-05,Germany,Apparel,118,29.5,2,4,Spring
2023-06-21,China,Electronics,1798,449.5,2,6,Summer
2025-07-30,India,Books,516,129.0,4,7,Summer
2022-09-25,India,Electronics,3596,899.0,4,9,Autumn
2025-07-21,Japan,Apparel,240,60.0,2,7,Summer
2025-08-13,China,Sports,447,111.75,3,8,Summer
2025-08-12,India,Electronics,398,99.5,2,8,Summer
2023-09-14,India,Electronics,995,248.75,5,9,Autumn
2024-01-09,France,Sports,100,25.0,4,1,Winter
2023-07-07,Canada,Sports,298,74.5,2,7,Summer
2023-12-30,France,Apparel,360,90.0,3,12,Winter
2024-06-30,Germany,Apparel,330,82.5,3,6,Summer
2023-07-10,Japan,Sports,50,12.5,2,7,Summer
2024-05-03,Germany,Apparel,59,14.75,1,5,Spring
2024-12-28,Germany,Electronics,4495,1123.75,5,12,Winter
2024-10-19,France,Books,80,20.0,1,10,Autumn
2023-01-27,India,Home & Kitchen,798,199.5,2,1,Winter
2024-08-24,Germany,Home & Kitchen,399,99.75,1,8,Summer
2025-05-17,Brazil,Toys,199,49.75,1,5,Spring
2023-12-21,UK,Toys,118,29.5,2,12,Winter
2022-09-20,USA,Apparel,600,150.0,5,9,Autumn
2024-08-10,Germany,Electronics,229,57.25,1,8,Summer
2023-10-06,Brazil,Sports,100,25.0,4,10,Autumn
2024-07-19,Brazil,Apparel,236,59.0,4,7,Summer
2023-01-11,China,Sports,25,6.25,1,1,Winter
2023-11-07,China,Books,160,40.0,2,11,Autumn
2023-04-02,Germany,Electronics,4495,1123.75,5,4,Spring
2024-11-02,China,Apparel,236,59.0,4,11,Autumn
2024-06-29,Germany,Electronics,199,49.75,1,6,Summer
2024-06-13,India,Apparel,177,44.25,3,6,Summer
2023-08-01,Japan,Electronics,458,114.5,2,8,Summer
